id,company,title,location,match,url,platform,deadline,salary,notes
"1","Dyson Singapore","Perception Engineer, NPI Robotic","Singapore","5","https://dyson.wd3.myworkdayjobs.com/dyson_careers/job/Singapore---St-James-Power-Station-Headquarters/Perception-Engineer--NPI-Robotic_JR34571/apply","MyWorkDay","","",""
"2","Intrinsic (Google)","Software Engineer, Perception","Singapore","5","http://job-boards.greenhouse.io/intrinsicrobotics/jobs/5991885004","Greenhouse","","",""
"3","A*STAR ARTC","Senior Research Scientist (Embodied AI)","Singapore","5","https://careers.a-star.edu.sg/talentcommunity/apply/692/?locale=en_GB","SuccessFactors","","",""
"4","SIT Singapore","Research Fellow (Humanoid Robotics)","Singapore","5","https://www.timeshighereducation.com/unijobs/external-redirect-registration?JobId=411913&LinkSource=JobDetails","THE","2026-07-08","",""
"5","小鹏机器人","VLM/VLA 大模型算法工程师 (26届校招)","深圳/上海/北京","5","https://xiaopeng.jobs.feishu.cn/398875/m/position/7543105090077493550/detail","飞书","","",""
"6","WeRide","Perception Engineer","Singapore","5","mailto:alex.mah@weride.ai?subject=求职申请 - Perception Engineer - 田霖","Email","","",""
"7","超维动力智能","具身智能算法研究员 (VLA/多模态)","深圳","5","https://m.liepin.com/job/1977515313.shtml","猎聘","","",""
"8","NVIDIA","Research Scientist (Generalist Embodied Agent)","USA","5","https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Research-Scientist--Generalist-Embodied-Agent-Research---New-College-Grad-2026_JR2009294/apply","MyWorkDay","","",""
"9","ST Engineering","Embodied AI Engineer (2 Years Contract)","Singapore","5","https://careers.stengg.com/talentcommunity/apply/1356001566/?locale=en_GB","SuccessFactors","","","人形机器人+Isaac Sim+ROS2，完美对口硕士"
"10","FieldAI","Robotics AI Engineer","Singapore","5","https://jobs.lever.co/field-ai/f326c7a0-84ee-4f91-aa16-80281203e8d3/apply","Lever","","",""
"11","Intrinsic (Google)","Deep Learning Engineer, Perception","Singapore","5","https://roboticsengineerjobs.com/companies/intrinsic/jobs/deep-learning-engineer-perception","Greenhouse/LinkedIn","","",""
"12","A*STAR I2R","(Senior) Scientist, Robotics & Autonomous Systems","Singapore","4","https://careers.a-star.edu.sg/default/job/%28Senior%29-Scientist%2C-Robotics-&-Autonomous-Systems%2C-I2R/2141-en_GB","SuccessFactors","","",""
"13","A*STAR SIMTech","(Senior) Research Scientist (Adaptive Robotics)","Singapore","4","https://careers.a-star.edu.sg/job/%28Senior%29-Research-Scientist-%28Adaptive-Robotics-and-Mechatronics%29%2C-SIMTech/862-en_GB/","SuccessFactors","","",""
"14","Randstad","Senior AI Engineer (Agentic AI)","Singapore","4","https://www.randstad.com.sg/jobs/senior-ai-engineer-agentic-ai_singapore_47012266/","Randstad","","S$8,000-9,000/月",""
"15","Grab","Senior Software Engineer, Perception (Robotics)","Singapore","4","https://www.grab.careers/en/jobs/744000123112979/senior-software-engineer-perception-robotics/","Grab Careers","","",""
"16","Jabil Circuit","Senior/Staff CV & AI Algorithm Engineer","Singapore","4","https://jabil.wd5.myworkdayjobs.com/Jabil_Careers/job/Singapore/Senior---Staff-Computer-Vision---AI-Algorithm-Engineer--Core-R-D-_J2449460/apply","MyWorkDay","","",""
"17","Menlo","Robotics Researcher, Perception & Vision","Singapore","4","https://sg.indeed.com/q-robotics-perception-engineer-jobs.html","Indeed","","",""
"18","OKX","Senior/Staff Engineer, AI Agent Development","Singapore","4","https://job-boards.greenhouse.io/okx/jobs/7699598003","Greenhouse","","",""
